Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Dividend (Dividend),2024-12-27 15:34:30,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,1.1082310000,0.244515,GBP,1.00000000,,,0.27,"GBP",0.00,GBP,,
Deposit,2025-01-06 14:47:48,,,,"Transaction ID: d9e5daa3-9040-40c8-8856-a2c36ea4014c",69f0200c-9e88-47d0-b744-e85c94a2d81f,,,,,,,300.00,"GBP",,,,
Market buy,2025-01-06 15:01:52,IL0011475949,RVSN,"Rail Vision",,EOF26157409347,69.4003300000,1.8000000000,USD,1.25108256,,,100.00,"GBP",,,0.15,"GBP"
Market buy,2025-01-06 15:05:55,US3439273075,FLYE,"FLY-E Group",,EOF26157412123,166.6260000000,0.7500000000,USD,1.25157235,,,100.00,"GBP",,,0.15,"GBP"
Interest on cash,2025-01-07 02:09:36,,,,"Interest on cash",c950b995-a690-4b4a-a8ea-3a669b851fe0,,,,,,,0.01,"GBP",,,,
Market buy,2025-01-07 13:13:57,US6748705067,OPTT,"Ocean Power Technologies",,EOF26201853342,88.4089400000,1.4200000000,USD,1.25377703,,,100.28,"GBP",,,0.15,"GBP"
Dividend (Dividend),2025-04-02 14:44:32,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,9.3697340000,0.248279,GBP,1.00000000,,,2.33,"GBP",0.00,GBP,,
Stock split close,2025-04-24 07:19:42,FR001400X2S4,ATO,"Atos",,EOF31555946479,20576.0100000000,0.0017660000,EUR,1.21164500,0.00,"GBP",29.99,"GBP",,,,
Stock split open,2025-04-24 07:19:42,FR001400X2S4,ATO,"Atos",,EOF31555946482,2.0576010000,17.6565000000,EUR,1.21140487,,,29.99,"GBP",,,,
Interest on cash,2025-04-26 00:11:53,,,,"Interest on cash",da3f2923-f45c-4b2e-b7c3-e7f7258b08b6,,,,,,,0.01,"GBP",,,,
Interest on cash,2025-05-31 00:12:43,,,,"Interest on cash",e7ed3ac8-4ef8-4541-b480-413949752f18,,,,,,,0.01,"GBP",,,,
Market sell,2025-06-11 11:49:03,US26740W1099,QBTS,"D-Wave Quantum",,EOF34001320176,19.3231750000,17.4800000000,USD,1.34902587,195.64,"GBP",250.00,"GBP",,,0.38,"GBP"
Market sell,2025-06-11 11:53:20,US76655K1034,RGTI,"Rigetti Computing",,EOF34001320771,28.1654710000,11.9900000000,USD,1.34876586,166.11,"GBP",250.00,"GBP",,,0.38,"GBP"
Market sell,2025-06-11 11:53:56,VGG794831062,LAES,"SEALSQ",,EOF34001320896,47.5748200000,4.0600000000,USD,1.34874498,50.90,"GBP",143.00,"GBP",,,0.21,"GBP"
Market sell,2025-06-11 11:54:19,US7731211089,RKLB,"Rocket Lab Corporation",,EOF34001320985,4.8991510000,27.5700000000,USD,1.34867292,11.05,"GBP",100.00,"GBP",,,0.15,"GBP"
Market sell,2025-06-11 11:55:49,FR001400X2S4,ATO,"Atos",,EOF34001321189,0.9468430000,37.4500000000,EUR,1.18040180,16.24,"GBP",29.99,"GBP",,,0.05,"GBP"
Withdrawal,2025-06-11 11:57:31,,,,,d87ab33e-ce29-4159-a667-cd4bcb68840f,,,,,,,-775.34,"GBP",,,,
Dividend (Dividend),2025-07-02 12:42:41,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,9.3697340000,0.227797,GBP,1.00000000,,,2.13,"GBP",-0.00,GBP,,
Stock split close,2025-07-07 06:21:24,US3439273075,FLYE,"FLY-E Group",,EOF35201233657,166.6260000000,0.7500030000,USD,1.25157736,0.00,"GBP",99.85,"GBP",,,,
Stock split open,2025-07-07 06:21:24,US3439273075,FLYE,"FLY-E Group",,EOF35201233662,33.3252000000,3.7500150000,USD,1.25157736,,,99.85,"GBP",,,,
Interest on cash,2025-07-30 00:15:59,,,,"Interest on cash",e362486c-0cc7-4c9a-bfe3-6eac3d22f6f6,,,,,,,0.01,"GBP",,,,
Interest on cash,2025-09-10 00:11:19,,,,"Interest on cash",fe2bc8a9-5971-4e1b-9098-2624db39e71e,,,,,,,0.01,"GBP",,,,
Dividend (Dividend),2025-10-01 13:05:59,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,9.3697340000,0.223815,GBP,1.00000000,,,2.10,"GBP",0.00,GBP,,
Deposit,2025-10-09 23:11:08,,,,"Transaction ID: 9b546212-7b6b-47ce-9eb5-6724878e4ffa",9f1781f9-93a3-4dbf-8e2c-8932edb9bc0d,,,,,,,50.00,"GBP",,,,
Deposit,2025-10-10 16:17:39,,,,"Transaction ID: JWMVJWRH3ZWFZHP9",f8518e3c-c4d1-4ec6-b954-c3fe55e53c18,,,,,,,50.00,"GBP",,,,
Market buy,2025-10-10 17:03:36,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF40061882645,0.0056300300,237.0500000000,USD,1.33459861,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:03:36,US76655K1034,RGTI,"Rigetti Computing",,EOF40061882642,0.0438916900,45.6100000000,USD,1.33459998,,,1.50,"GBP",,,,
Market buy,2025-10-10 17:03:36,US7731211089,RKLB,"Rocket Lab Corporation",,EOF40061882650,0.0196901700,67.7800000000,USD,1.33459972,,,1.00,"GBP",,,,
